"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Bangladesh","Electricity - total wind production","2019","Kilowatt-hours, million","6",""
"Bangladesh","Electricity - total wind production","2018","Kilowatt-hours, million","6",""
"Belarus","Electricity - total wind production","2021","Kilowatt-hours, million","168",""
"Belarus","Electricity - total wind production","2020","Kilowatt-hours, million","194",""
"Belarus","Electricity - total wind production","2019","Kilowatt-hours, million","178",""
"Belarus","Electricity - total wind production","2018","Kilowatt-hours, million","99",""
"Belgium","Electricity - total wind production","2021","Kilowatt-hours, million","11997.6",""
"Belgium","Electricity - total wind production","2020","Kilowatt-hours, million","12818.6",""
"Belgium","Electricity - total wind production","2019","Kilowatt-hours, million","9755.4",""
"Belgium","Electricity - total wind production","2018","Kilowatt-hours, million","7574.1",""
"Bhutan","Electricity - total wind production","2022","Kilowatt-hours, million","0.39","1"
"Bhutan","Electricity - total wind production","2021","Kilowatt-hours, million","0.39",""
"Bhutan","Electricity - total wind production","2020","Kilowatt-hours, million","1.11",""
"Bhutan","Electricity - total wind production","2019","Kilowatt-hours, million","1.13","1"
"Bhutan","Electricity - total wind production","2018","Kilowatt-hours, million","1.13",""
"Bolivia (Plur. State of)","Electricity - total wind production","2021","Kilowatt-hours, million","119.6",""
"Bolivia (Plur. State of)","Electricity - total wind production","2020","Kilowatt-hours, million","64.2",""
"Bolivia (Plur. State of)","Electricity - total wind production","2019","Kilowatt-hours, million","70.2",""
"Bolivia (Plur. State of)","Electricity - total wind production","2018","Kilowatt-hours, million","58.84",""
"Bonaire, St Eustatius, Saba","Electricity - total wind production","2022","Kilowatt-hours, million","27.3","1"
"Bonaire, St Eustatius, Saba","Electricity - total wind production","2021","Kilowatt-hours, million","27.7","1"
"Bonaire, St Eustatius, Saba","Electricity - total wind production","2020","Kilowatt-hours, million","25.4",""
"Bonaire, St Eustatius, Saba","Electricity - total wind production","2019","Kilowatt-hours, million","32.5",""
"Bonaire, St Eustatius, Saba","Electricity - total wind production","2018","Kilowatt-hours, million","37.1",""
"Bosnia and Herzegovina","Electricity - total wind production","2021","Kilowatt-hours, million","382",""
"Bosnia and Herzegovina","Electricity - total wind production","2020","Kilowatt-hours, million","262",""
"Bosnia and Herzegovina","Electricity - total wind production","2019","Kilowatt-hours, million","254",""
"Bosnia and Herzegovina","Electricity - total wind production","2018","Kilowatt-hours, million","103",""
"Brazil","Electricity - total wind production","2021","Kilowatt-hours, million","72285.975",""
"Brazil","Electricity - total wind production","2020","Kilowatt-hours, million","57050",""
"Brazil","Electricity - total wind production","2019","Kilowatt-hours, million","55986",""
"Brazil","Electricity - total wind production","2018","Kilowatt-hours, million","48475",""
"British Virgin Islands","Electricity - total wind production","2022","Kilowatt-hours, million","1.3","1"
"British Virgin Islands","Electricity - total wind production","2021","Kilowatt-hours, million","1.3",""
"British Virgin Islands","Electricity - total wind production","2020","Kilowatt-hours, million","1.3",""
"British Virgin Islands","Electricity - total wind production","2019","Kilowatt-hours, million","0.7",""
"British Virgin Islands","Electricity - total wind production","2018","Kilowatt-hours, million","0.7",""
"Bulgaria","Electricity - total wind production","2021","Kilowatt-hours, million","1433.561",""
"Bulgaria","Electricity - total wind production","2020","Kilowatt-hours, million","1477.131",""
"Bulgaria","Electricity - total wind production","2019","Kilowatt-hours, million","1316.988",""
"Bulgaria","Electricity - total wind production","2018","Kilowatt-hours, million","1318.123",""
"Cabo Verde","Electricity - total wind production","2022","Kilowatt-hours, million","72.2",""
"Cabo Verde","Electricity - total wind production","2021","Kilowatt-hours, million","73.8",""
"Cabo Verde","Electricity - total wind production","2020","Kilowatt-hours, million","63.9",""
"Cabo Verde","Electricity - total wind production","2019","Kilowatt-hours, million","73.8",""
"Cabo Verde","Electricity - total wind production","2018","Kilowatt-hours, million","80.2",""
"Canada","Electricity - total wind production","2021","Kilowatt-hours, million","34753",""
"Canada","Electricity - total wind production","2020","Kilowatt-hours, million","35761",""
"Canada","Electricity - total wind production","2019","Kilowatt-hours, million","32873",""
"Canada","Electricity - total wind production","2018","Kilowatt-hours, million","33468",""
"Chad","Electricity - total wind production","2022","Kilowatt-hours, million","9","1"
"Chad","Electricity - total wind production","2021","Kilowatt-hours, million","9",""
"Chad","Electricity - total wind production","2020","Kilowatt-hours, million","9",""
"Chad","Electricity - total wind production","2019","Kilowatt-hours, million","9",""
"Chad","Electricity - total wind production","2018","Kilowatt-hours, million","9",""
"Chile","Electricity - total wind production","2021","Kilowatt-hours, million","7628.098",""
"Chile","Electricity - total wind production","2020","Kilowatt-hours, million","5602.3",""
"Chile","Electricity - total wind production","2019","Kilowatt-hours, million","4896.804",""
"Chile","Electricity - total wind production","2018","Kilowatt-hours, million","3587.895",""
"China","Electricity - total wind production","2021","Kilowatt-hours, million","656100",""
"China","Electricity - total wind production","2020","Kilowatt-hours, million","466470",""
"China","Electricity - total wind production","2019","Kilowatt-hours, million","406030",""
"China","Electricity - total wind production","2018","Kilowatt-hours, million","365971",""
"Colombia","Electricity - total wind production","2021","Kilowatt-hours, million","60.462",""
"Colombia","Electricity - total wind production","2020","Kilowatt-hours, million","10.117",""
"Colombia","Electricity - total wind production","2019","Kilowatt-hours, million","63.324",""
"Colombia","Electricity - total wind production","2018","Kilowatt-hours, million","43.437",""
"Costa Rica","Electricity - total wind production","2021","Kilowatt-hours, million","1573.3",""
"Costa Rica","Electricity - total wind production","2020","Kilowatt-hours, million","1459.442",""
"Costa Rica","Electricity - total wind production","2019","Kilowatt-hours, million","1796.344",""
"Costa Rica","Electricity - total wind production","2018","Kilowatt-hours, million","1798.875",""
"Croatia","Electricity - total wind production","2021","Kilowatt-hours, million","2061.8",""
"Croatia","Electricity - total wind production","2020","Kilowatt-hours, million","1720.7",""
"Croatia","Electricity - total wind production","2019","Kilowatt-hours, million","1467.3",""
"Croatia","Electricity - total wind production","2018","Kilowatt-hours, million","1335.4",""
"Cuba","Electricity - total wind production","2022","Kilowatt-hours, million","62.79","1"
"Cuba","Electricity - total wind production","2021","Kilowatt-hours, million","68.9","1"
"Cuba","Electricity - total wind production","2020","Kilowatt-hours, million","67.808","1"
"Cuba","Electricity - total wind production","2019","Kilowatt-hours, million","65","1"
"Cuba","Electricity - total wind production","2018","Kilowatt-hours, million","43.5","1"
"Curaçao","Electricity - total wind production","2021","Kilowatt-hours, million","196.955",""
"Curaçao","Electricity - total wind production","2020","Kilowatt-hours, million","191.387",""
"Curaçao","Electricity - total wind production","2019","Kilowatt-hours, million","217.807",""
"Curaçao","Electricity - total wind production","2018","Kilowatt-hours, million","233.76",""
"Cyprus","Electricity - total wind production","2021","Kilowatt-hours, million","246.478",""
"Cyprus","Electricity - total wind production","2020","Kilowatt-hours, million","240.408",""
"Cyprus","Electricity - total wind production","2019","Kilowatt-hours, million","238.565",""
"Cyprus","Electricity - total wind production","2018","Kilowatt-hours, million","221.04",""
"Czechia","Electricity - total wind production","2021","Kilowatt-hours, million","601.534",""
"Czechia","Electricity - total wind production","2020","Kilowatt-hours, million","699.083",""
"Czechia","Electricity - total wind production","2019","Kilowatt-hours, million","700.014",""
"Czechia","Electricity - total wind production","2018","Kilowatt-hours, million","609.33",""
"Denmark","Electricity - total wind production","2021","Kilowatt-hours, million","16054.467",""
"Denmark","Electricity - total wind production","2020","Kilowatt-hours, million","16330.215",""
"Denmark","Electricity - total wind production","2019","Kilowatt-hours, million","16149.833",""
"Denmark","Electricity - total wind production","2018","Kilowatt-hours, million","13901.955",""
"Dominica","Electricity - total wind production","2022","Kilowatt-hours, million","1.26","1"
"Dominica","Electricity - total wind production","2021","Kilowatt-hours, million","1.19",""
"Dominica","Electricity - total wind production","2020","Kilowatt-hours, million","0.6","1"
"Dominica","Electricity - total wind production","2019","Kilowatt-hours, million","0.595","1"
"Dominica","Electricity - total wind production","2018","Kilowatt-hours, million","0.595",""
"Dominican Republic","Electricity - total wind production","2021","Kilowatt-hours, million","1231",""
"Dominican Republic","Electricity - total wind production","2020","Kilowatt-hours, million","1139",""
"Dominican Republic","Electricity - total wind production","2019","Kilowatt-hours, million","551.661",""
"Dominican Republic","Electricity - total wind production","2018","Kilowatt-hours, million","497.48",""
"Ecuador","Electricity - total wind production","2022","Kilowatt-hours, million","60.6",""
"Ecuador","Electricity - total wind production","2021","Kilowatt-hours, million","62.011",""
"Ecuador","Electricity - total wind production","2020","Kilowatt-hours, million","77.1",""
"Ecuador","Electricity - total wind production","2019","Kilowatt-hours, million","85.53",""
"Ecuador","Electricity - total wind production","2018","Kilowatt-hours, million","80.26",""
"Egypt","Electricity - total wind production","2021","Kilowatt-hours, million","6251.051",""
"Egypt","Electricity - total wind production","2020","Kilowatt-hours, million","4233",""
"Egypt","Electricity - total wind production","2019","Kilowatt-hours, million","3688.667",""
"Egypt","Electricity - total wind production","2018","Kilowatt-hours, million","2234",""
"El Salvador","Electricity - total wind production","2021","Kilowatt-hours, million","131.78",""
"El Salvador","Electricity - total wind production","2020","Kilowatt-hours, million","14.12",""
"Eritrea","Electricity - total wind production","2021","Kilowatt-hours, million","2",""
"Eritrea","Electricity - total wind production","2020","Kilowatt-hours, million","2",""
"Eritrea","Electricity - total wind production","2019","Kilowatt-hours, million","2",""
"Eritrea","Electricity - total wind production","2018","Kilowatt-hours, million","2",""
"Estonia","Electricity - total wind production","2021","Kilowatt-hours, million","733",""
"Estonia","Electricity - total wind production","2020","Kilowatt-hours, million","844",""
"Estonia","Electricity - total wind production","2019","Kilowatt-hours, million","687",""
"Estonia","Electricity - total wind production","2018","Kilowatt-hours, million","636",""
"Ethiopia","Electricity - total wind production","2021","Kilowatt-hours, million","560.562",""
"Ethiopia","Electricity - total wind production","2020","Kilowatt-hours, million","817.909",""
"Ethiopia","Electricity - total wind production","2019","Kilowatt-hours, million","609.03",""
"Ethiopia","Electricity - total wind production","2018","Kilowatt-hours, million","848.06",""
"Faeroe Islands","Electricity - total wind production","2022","Kilowatt-hours, million","90.208",""
"Faeroe Islands","Electricity - total wind production","2021","Kilowatt-hours, million","54.1",""
"Faeroe Islands","Electricity - total wind production","2020","Kilowatt-hours, million","47.1",""
"Faeroe Islands","Electricity - total wind production","2019","Kilowatt-hours, million","52.6",""
"Faeroe Islands","Electricity - total wind production","2018","Kilowatt-hours, million","63.8",""
"Falkland Is. (Malvinas)","Electricity - total wind production","2022","Kilowatt-hours, million","4.5","1"
"Falkland Is. (Malvinas)","Electricity - total wind production","2021","Kilowatt-hours, million","4.4446",""
"Falkland Is. (Malvinas)","Electricity - total wind production","2020","Kilowatt-hours, million","4.2525",""
"Falkland Is. (Malvinas)","Electricity - total wind production","2019","Kilowatt-hours, million","5.1487",""
"Falkland Is. (Malvinas)","Electricity - total wind production","2018","Kilowatt-hours, million","5.318",""
"Fiji","Electricity - total wind production","2022","Kilowatt-hours, million","0.093",""
"Fiji","Electricity - total wind production","2021","Kilowatt-hours, million","0.293",""
"Fiji","Electricity - total wind production","2020","Kilowatt-hours, million","1.136",""
"Fiji","Electricity - total wind production","2019","Kilowatt-hours, million","3.419",""
"Fiji","Electricity - total wind production","2018","Kilowatt-hours, million","2.558",""
"Finland","Electricity - total wind production","2021","Kilowatt-hours, million","8507",""
"Finland","Electricity - total wind production","2020","Kilowatt-hours, million","8256",""
"Finland","Electricity - total wind production","2019","Kilowatt-hours, million","6025",""
"Finland","Electricity - total wind production","2018","Kilowatt-hours, million","5839",""
"France","Electricity - total wind production","2021","Kilowatt-hours, million","36831.352",""
"France","Electricity - total wind production","2020","Kilowatt-hours, million","39861.296",""
"France","Electricity - total wind production","2019","Kilowatt-hours, million","34721.683",""
"France","Electricity - total wind production","2018","Kilowatt-hours, million","28598.595",""
"French Polynesia","Electricity - total wind production","2022","Kilowatt-hours, million","0.08","1"
"French Polynesia","Electricity - total wind production","2021","Kilowatt-hours, million","0.08",""
"French Polynesia","Electricity - total wind production","2020","Kilowatt-hours, million","0.08",""
"French Polynesia","Electricity - total wind production","2019","Kilowatt-hours, million","0.08",""
"French Polynesia","Electricity - total wind production","2018","Kilowatt-hours, million","0.08",""
"Gambia","Electricity - total wind production","2022","Kilowatt-hours, million","2.13","1"
"Gambia","Electricity - total wind production","2021","Kilowatt-hours, million","2.13",""
"Gambia","Electricity - total wind production","2020","Kilowatt-hours, million","2.13",""
"Gambia","Electricity - total wind production","2019","Kilowatt-hours, million","2.13",""
"Gambia","Electricity - total wind production","2018","Kilowatt-hours, million","2.13",""
"Georgia","Electricity - total wind production","2022","Kilowatt-hours, million","87.49",""
"Georgia","Electricity - total wind production","2021","Kilowatt-hours, million","83.4",""
"Georgia","Electricity - total wind production","2020","Kilowatt-hours, million","90.8",""
"Georgia","Electricity - total wind production","2019","Kilowatt-hours, million","84.7",""
"Georgia","Electricity - total wind production","2018","Kilowatt-hours, million","84.3",""
"Germany","Electricity - total wind production","2021","Kilowatt-hours, million","114647",""
"Germany","Electricity - total wind production","2020","Kilowatt-hours, million","132102",""
"Germany","Electricity - total wind production","2019","Kilowatt-hours, million","125894",""
"Germany","Electricity - total wind production","2018","Kilowatt-hours, million","109951",""
"Greece","Electricity - total wind production","2021","Kilowatt-hours, million","10482.981",""
"Greece","Electricity - total wind production","2020","Kilowatt-hours, million","9310.104",""
"Greece","Electricity - total wind production","2019","Kilowatt-hours, million","7266.347",""
"Greece","Electricity - total wind production","2018","Kilowatt-hours, million","6300.259",""
"Grenada","Electricity - total wind production","2022","Kilowatt-hours, million","0.224","1"
"Grenada","Electricity - total wind production","2021","Kilowatt-hours, million","0.224","1"
"Grenada","Electricity - total wind production","2020","Kilowatt-hours, million","0.224",""
"Grenada","Electricity - total wind production","2019","Kilowatt-hours, million","0.224",""
"Grenada","Electricity - total wind production","2018","Kilowatt-hours, million","0.224",""
"Guam","Electricity - total wind production","2022","Kilowatt-hours, million","0.5","1"
"Guam","Electricity - total wind production","2021","Kilowatt-hours, million","0.5","1"
"Guam","Electricity - total wind production","2020","Kilowatt-hours, million","0.5",""
"Guam","Electricity - total wind production","2019","Kilowatt-hours, million","0.5",""
"Guam","Electricity - total wind production","2018","Kilowatt-hours, million","0.5",""
"Guatemala","Electricity - total wind production","2021","Kilowatt-hours, million","325.29",""
"Guatemala","Electricity - total wind production","2020","Kilowatt-hours, million","317",""
"Guatemala","Electricity - total wind production","2019","Kilowatt-hours, million","220.8",""
"Guatemala","Electricity - total wind production","2018","Kilowatt-hours, million","319.5",""
"Guyana","Electricity - total wind production","2022","Kilowatt-hours, million","0.35","1"
"Guyana","Electricity - total wind production","2021","Kilowatt-hours, million","0.35",""
"Guyana","Electricity - total wind production","2020","Kilowatt-hours, million","0.35",""
"Guyana","Electricity - total wind production","2019","Kilowatt-hours, million","0.35",""
"Guyana","Electricity - total wind production","2018","Kilowatt-hours, million","0.35",""
"Honduras","Electricity - total wind production","2022","Kilowatt-hours, million","685.7971",""
"Honduras","Electricity - total wind production","2021","Kilowatt-hours, million","774.662",""
"Honduras","Electricity - total wind production","2020","Kilowatt-hours, million","707.399",""
"Honduras","Electricity - total wind production","2019","Kilowatt-hours, million","818.29",""
"Honduras","Electricity - total wind production","2018","Kilowatt-hours, million","928.7",""
"Hungary","Electricity - total wind production","2021","Kilowatt-hours, million","664",""
"Hungary","Electricity - total wind production","2020","Kilowatt-hours, million","655",""
"Hungary","Electricity - total wind production","2019","Kilowatt-hours, million","729",""
"Hungary","Electricity - total wind production","2018","Kilowatt-hours, million","607",""
"Iceland","Electricity - total wind production","2021","Kilowatt-hours, million","6.087",""
"Iceland","Electricity - total wind production","2020","Kilowatt-hours, million","6.66",""
"Iceland","Electricity - total wind production","2019","Kilowatt-hours, million","6.569",""
"Iceland","Electricity - total wind production","2018","Kilowatt-hours, million","4.363",""
"India","Electricity - total wind production","2021","Kilowatt-hours, million","77140",""
"India","Electricity - total wind production","2020","Kilowatt-hours, million","67418","1"
"India","Electricity - total wind production","2019","Kilowatt-hours, million","69949","1"
"India","Electricity - total wind production","2018","Kilowatt-hours, million","64294","1"
"Iran (Islamic Rep. of)","Electricity - total wind production","2021","Kilowatt-hours, million","759.439",""
"Iran (Islamic Rep. of)","Electricity - total wind production","2020","Kilowatt-hours, million","754.249",""
"Iran (Islamic Rep. of)","Electricity - total wind production","2019","Kilowatt-hours, million","615.602",""
"Iran (Islamic Rep. of)","Electricity - total wind production","2018","Kilowatt-hours, million","518.18",""
"Ireland","Electricity - total wind production","2021","Kilowatt-hours, million","9775.912",""
"Ireland","Electricity - total wind production","2020","Kilowatt-hours, million","11549.42",""
"Ireland","Electricity - total wind production","2019","Kilowatt-hours, million","10019.485",""
"Ireland","Electricity - total wind production","2018","Kilowatt-hours, million","8639.767",""
"Israel","Electricity - total wind production","2021","Kilowatt-hours, million","178.382",""
"Israel","Electricity - total wind production","2020","Kilowatt-hours, million","203.594",""
"Israel","Electricity - total wind production","2019","Kilowatt-hours, million","190.395",""
"Israel","Electricity - total wind production","2018","Kilowatt-hours, million","183.19",""
"Italy","Electricity - total wind production","2021","Kilowatt-hours, million","20927.303",""
"Italy","Electricity - total wind production","2020","Kilowatt-hours, million","18761.557",""
"Italy","Electricity - total wind production","2019","Kilowatt-hours, million","20202.041",""
"Italy","Electricity - total wind production","2018","Kilowatt-hours, million","17716.434",""
"Jamaica","Electricity - total wind production","2022","Kilowatt-hours, million","271.82",""
"Jamaica","Electricity - total wind production","2021","Kilowatt-hours, million","264",""
"Jamaica","Electricity - total wind production","2020","Kilowatt-hours, million","280",""
"Jamaica","Electricity - total wind production","2019","Kilowatt-hours, million","272",""
"Jamaica","Electricity - total wind production","2018","Kilowatt-hours, million","302",""
"Japan","Electricity - total wind production","2021","Kilowatt-hours, million","9428.225",""
"Japan","Electricity - total wind production","2020","Kilowatt-hours, million","8969.849",""
"Japan","Electricity - total wind production","2019","Kilowatt-hours, million","7617.402",""
"Japan","Electricity - total wind production","2018","Kilowatt-hours, million","7481.228",""
"Jordan","Electricity - total wind production","2022","Kilowatt-hours, million","1748.2",""
"Jordan","Electricity - total wind production","2021","Kilowatt-hours, million","1595.5",""
"Jordan","Electricity - total wind production","2020","Kilowatt-hours, million","1406.9",""
"Jordan","Electricity - total wind production","2019","Kilowatt-hours, million","874.9",""
"Jordan","Electricity - total wind production","2018","Kilowatt-hours, million","707",""
"Kazakhstan","Electricity - total wind production","2022","Kilowatt-hours, million","2372.1",""
"Kazakhstan","Electricity - total wind production","2021","Kilowatt-hours, million","1747.474",""
"Kazakhstan","Electricity - total wind production","2020","Kilowatt-hours, million","1028.661",""
"Kazakhstan","Electricity - total wind production","2019","Kilowatt-hours, million","707.135",""
"Kazakhstan","Electricity - total wind production","2018","Kilowatt-hours, million","460.583",""
"Kenya","Electricity - total wind production","2021","Kilowatt-hours, million","1984.8",""
"Kenya","Electricity - total wind production","2020","Kilowatt-hours, million","1331.4",""
"Kenya","Electricity - total wind production","2019","Kilowatt-hours, million","1562.7",""
"Kenya","Electricity - total wind production","2018","Kilowatt-hours, million","375.6",""
"Korea, Republic of","Electricity - total wind production","2021","Kilowatt-hours, million","3182.449",""
"Korea, Republic of","Electricity - total wind production","2020","Kilowatt-hours, million","3151.442",""
"Korea, Republic of","Electricity - total wind production","2019","Kilowatt-hours, million","2680.924",""
"Korea, Republic of","Electricity - total wind production","2018","Kilowatt-hours, million","2464.879",""
"Kosovo","Electricity - total wind production","2021","Kilowatt-hours, million","126.316",""
"Kosovo","Electricity - total wind production","2020","Kilowatt-hours, million","90.3",""
"Kosovo","Electricity - total wind production","2019","Kilowatt-hours, million","90.649",""
"Kosovo","Electricity - total wind production","2018","Kilowatt-hours, million","29.753",""
"Kuwait","Electricity - total wind production","2021","Kilowatt-hours, million","29.117",""
"Kuwait","Electricity - total wind production","2020","Kilowatt-hours, million","33.05",""
"Kuwait","Electricity - total wind production","2019","Kilowatt-hours, million","35.886",""
"Kuwait","Electricity - total wind production","2018","Kilowatt-hours, million","38.255",""
"Latvia","Electricity - total wind production","2022","Kilowatt-hours, million","190.183",""
"Latvia","Electricity - total wind production","2021","Kilowatt-hours, million","141.436",""
"Latvia","Electricity - total wind production","2020","Kilowatt-hours, million","176.842",""
"Latvia","Electricity - total wind production","2019","Kilowatt-hours, million","153.999",""
"Latvia","Electricity - total wind production","2018","Kilowatt-hours, million","122.038",""
"Lithuania","Electricity - total wind production","2021","Kilowatt-hours, million","1361.7",""
"Lithuania","Electricity - total wind production","2020","Kilowatt-hours, million","1551.7",""
"Lithuania","Electricity - total wind production","2019","Kilowatt-hours, million","1499.4",""
"Lithuania","Electricity - total wind production","2018","Kilowatt-hours, million","1144",""
"Luxembourg","Electricity - total wind production","2021","Kilowatt-hours, million","314.313",""
"Luxembourg","Electricity - total wind production","2020","Kilowatt-hours, million","351.135",""
"Luxembourg","Electricity - total wind production","2019","Kilowatt-hours, million","281.283",""
"Luxembourg","Electricity - total wind production","2018","Kilowatt-hours, million","254.575",""
"Madagascar","Electricity - total wind production","2022","Kilowatt-hours, million","0.5","1"
"Madagascar","Electricity - total wind production","2021","Kilowatt-hours, million","0.465","1"
"Madagascar","Electricity - total wind production","2020","Kilowatt-hours, million","0.465","1"
"Madagascar","Electricity - total wind production","2019","Kilowatt-hours, million","0.465","1"
"Madagascar","Electricity - total wind production","2018","Kilowatt-hours, million","0.465",""
"Maldives","Electricity - total wind production","2022","Kilowatt-hours, million","2.5","1"
"Maldives","Electricity - total wind production","2021","Kilowatt-hours, million","2.5","1"
"Maldives","Electricity - total wind production","2020","Kilowatt-hours, million","2.465",""
"Maldives","Electricity - total wind production","2019","Kilowatt-hours, million","2.465",""
"Maldives","Electricity - total wind production","2018","Kilowatt-hours, million","2.465",""
"Malta","Electricity - total wind production","2021","Kilowatt-hours, million","0.058",""
"Malta","Electricity - total wind production","2020","Kilowatt-hours, million","0.058",""
"Malta","Electricity - total wind production","2019","Kilowatt-hours, million","0.058",""
"Malta","Electricity - total wind production","2018","Kilowatt-hours, million","0.058",""
"Mauritania","Electricity - total wind production","2022","Kilowatt-hours, million","113.893",""
"Mauritania","Electricity - total wind production","2021","Kilowatt-hours, million","138.953","1"
"Mauritania","Electricity - total wind production","2020","Kilowatt-hours, million","137.894",""
"Mauritania","Electricity - total wind production","2019","Kilowatt-hours, million","111.624","1"
"Mauritania","Electricity - total wind production","2018","Kilowatt-hours, million","110",""
"Mauritius","Electricity - total wind production","2021","Kilowatt-hours, million","15.28",""
"Mauritius","Electricity - total wind production","2020","Kilowatt-hours, million","18.2",""
"Mauritius","Electricity - total wind production","2019","Kilowatt-hours, million","15.4",""
"Mauritius","Electricity - total wind production","2018","Kilowatt-hours, million","15.1",""
"Mexico","Electricity - total wind production","2021","Kilowatt-hours, million","20896",""
"Mexico","Electricity - total wind production","2020","Kilowatt-hours, million","19702",""
"Mexico","Electricity - total wind production","2019","Kilowatt-hours, million","16880",""
"Mexico","Electricity - total wind production","2018","Kilowatt-hours, million","12877",""
"Micronesia (Fed. States of)","Electricity - total wind production","2022","Kilowatt-hours, million","1.1","1"
"Micronesia (Fed. States of)","Electricity - total wind production","2021","Kilowatt-hours, million","1.1","1"
"Micronesia (Fed. States of)","Electricity - total wind production","2020","Kilowatt-hours, million","1.1","1"
"Micronesia (Fed. States of)","Electricity - total wind production","2019","Kilowatt-hours, million","1.1","1"
"Micronesia (Fed. States of)","Electricity - total wind production","2018","Kilowatt-hours, million","1.1","1"
"Mongolia","Electricity - total wind production","2021","Kilowatt-hours, million","567.639",""
"Mongolia","Electricity - total wind production","2020","Kilowatt-hours, million","340",""
"Mongolia","Electricity - total wind production","2019","Kilowatt-hours, million","340","1"
"Mongolia","Electricity - total wind production","2018","Kilowatt-hours, million","340",""
"Montenegro","Electricity - total wind production","2022","Kilowatt-hours, million","324.7",""
"Montenegro","Electricity - total wind production","2021","Kilowatt-hours, million","320.1",""
"Montenegro","Electricity - total wind production","2020","Kilowatt-hours, million","320.1",""
"Montenegro","Electricity - total wind production","2019","Kilowatt-hours, million","293.4",""
"Montenegro","Electricity - total wind production","2018","Kilowatt-hours, million","141",""
"Morocco","Electricity - total wind production","2021","Kilowatt-hours, million","5106.67",""
"Morocco","Electricity - total wind production","2020","Kilowatt-hours, million","4591.891",""
"Morocco","Electricity - total wind production","2019","Kilowatt-hours, million","4723.385",""
"Morocco","Electricity - total wind production","2018","Kilowatt-hours, million","3863.442",""
"Namibia","Electricity - total wind production","2021","Kilowatt-hours, million","21.625",""
"Namibia","Electricity - total wind production","2020","Kilowatt-hours, million","21.625",""
"Namibia","Electricity - total wind production","2019","Kilowatt-hours, million","21.625",""
"Namibia","Electricity - total wind production","2018","Kilowatt-hours, million","21.625",""
"Nepal","Electricity - total wind production","2021","Kilowatt-hours, million","0.528",""
"Nepal","Electricity - total wind production","2020","Kilowatt-hours, million","0.528",""
"Nepal","Electricity - total wind production","2019","Kilowatt-hours, million","0.389",""
"Nepal","Electricity - total wind production","2018","Kilowatt-hours, million","0.278",""
"Netherlands (Kingd. of the)","Electricity - total wind production","2021","Kilowatt-hours, million","18004.853",""
"Netherlands (Kingd. of the)","Electricity - total wind production","2020","Kilowatt-hours, million","15277.726",""
